user_id,post_type,post_length,likes,comments,shares,engagement_rate,user_followers,post_category,post_hour,is_weekend,user_verified,spam_flag
1,video,287,306,52,35,4.45726875563238,9204,fashion,3,0,0,0
2,text,149,330,78,36,4.84524424121398,596,sports,7,0,1,0
3,video,222,460,78,40,2.03706674164206,1563,food,12,1,1,1
4,video,185,265,3,16,2.02328095741463,6928,sports,9,1,0,0
5,text,270,397,95,34,0.531913157484669,4353,food,17,1,1,1
6,text,168,209,22,47,3.56112809748668,593,fashion,8,0,0,1
7,video,102,50,69,4,4.21447953086883,5165,food,0,0,0,0
8,image,232,117,87,47,1.15973735162001,5530,sports,12,1,0,1
9,video,81,200,83,31,1.21849857215218,1526,technology,17,0,1,0
10,video,100,376,83,2,4.05537462487147,9984,technology,14,0,1,1
11,video,93,38,75,46,3.27330836759365,1893,fashion,1,1,0,1
12,video,131,27,32,34,0.701872509324727,2823,sports,10,1,0,0
13,text,247,258,27,13,3.30146145708027,758,sports,13,1,1,1
14,video,195,83,7,47,1.89012975279695,4861,sports,21,0,0,0
15,image,,453,0,30,,7730,fashion,14,1,0,1
16,text,199,154,36,30,3.96379138233596,8841,technology,13,1,1,0
17,image,86,116,62,16,4.14920836702675,8934,food,15,1,1,0
18,image,145,1,21,23,2.30160482077924,4450,fashion,22,0,1,0
19,image,,92,69,22,,307,food,14,0,1,0
20,image,,165,20,17,,4290,technology,18,1,0,1
21,text,108,386,95,49,3.9732621585355,1983,fashion,8,1,1,0
22,text,180,399,34,13,2.67744769053917,2986,technology,4,0,1,0
23,image,205,349,78,49,4.53889546934938,577,food,4,0,0,0
24,image,251,295,4,14,4.5849255964258,9053,sports,10,1,0,0
25,text,292,257,59,14,0.893375635419877,8481,sports,19,0,0,1
26,text,84,80,45,5,4.71421999089602,6954,food,23,1,1,0
27,text,238,424,49,26,4.21490678684187,855,sports,3,1,0,1
28,video,142,267,47,14,4.060898214407,9738,food,19,0,1,0
